code,name,country_code,timezone
HIL,Shilavo Airport,ET,Africa/Addis_Ababa
HIM,Hingurakgoda Air Force Base,LK,Asia/Colombo
HIN,Sacheon Air Base/Airport,KR,Asia/Seoul
HIO,Portland Hillsboro Airport,US,America/Vancouver
HIP,Headingly Airport,AU,Australia/Brisbane
HIR,Honiara International Airport,SB,Pacific/Guadalcanal
HIS,Hayman Island Resort Seaplane Base,AU,Australia/Lindeman
HIT,Haivaro Airport,PG,Pacific/Port_Moresby
HJJ,Zhijiang Airport,CN,Asia/Chongqing
HJR,Khajuraho Airport,IN,Asia/Kolkata
HJT,Khujirt Airport,MN,Asia/Ulaanbaatar
HKD,Hakodate Airport,JP,Asia/Tokyo
HKG,Hong Kong International Airport,HK,Asia/Hong_Kong
HKK,Hokitika Airfield,NZ,Pacific/Auckland
HKN,Kimbe Airport,PG,Pacific/Port_Moresby
HKS,Hawkins Field,US,America/Indiana/Vincennes
HKT,Phuket International Airport,TH,Asia/Bangkok
HKV,Malevo Airport,BG,Europe/Sofia
HKY,Hickory Regional Airport,US,America/New_York
HLA,Lanseria Airport,ZA,Africa/Johannesburg
HLB,Hillenbrand Industries Airport,US,America/Indiana/Vevay
HLC,Hill City Municipal Airport,US,America/Denver
HLD,Hulunbuir Hailar Airport,CN,Asia/Shanghai
HLF,Hultsfred Airport,SE,Europe/Stockholm
HLG,Wheeling Ohio County Airport,US,Asia/Kashgar
HLH,Ulanhot Airport,CN,Asia/Shanghai
HLI,Hollister Municipal Airport,US,America/Los_Angeles
HLL,Hillside Airport,AU,Australia/Darwin
HLM,Park Township Airport,US,America/Indiana/Knox
HLN,Helena Regional Airport,US,America/Denver
HLO,Ingjaldssanður Airport,IS,Atlantic/Reykjavik
HLP,Halim Perdanakusuma International Airport,ID,Asia/Jakarta
HLR,Hood Army Air Field,US,America/Matamoros
HLS,St Helens Airport,AU,Australia/Hobart
HLT,Hamilton Airport,AU,Australia/Melbourne
HLU,Nesson Airport,NC,Pacific/Noumea
HLV,Helenvale Airport,AU,Australia/Brisbane
HLW,Hluhluwe Airport,ZA,Africa/Johannesburg
HLZ,Hamilton International Airport,NZ,Pacific/Auckland
HMA,Khanty Mansiysk Airport,RU,Asia/Omsk
HMB,Sohag International Airport,EG,Africa/Cairo
HME,Hassi Messaoud-Oued Irara Krim Belkacem Airport,DZ,Africa/Algiers
HMG,Hermannsburg Airport,AU,Australia/Darwin
HMI,Hami Airport,CN,Asia/Urumqi
HMJ,Khmelnytskyi Airport,UA,Europe/Kiev
HMO,General Ignacio P. Garcia International Airport,MX,America/Hermosillo
HMR,Stafsberg Airport,NO,Europe/Oslo
HMT,Hemet Ryan Airport,US,America/Tijuana
HMV,Hemavan Airport,SE,Europe/Stockholm
HMY,Seosan Air Base,KR,Asia/Seoul
HNA,Morioka Hanamaki Airport,JP,Asia/Tokyo
HNC,Billy Mitchell Airport,US,America/New_York
HND,Tokyo Haneda International Airport,JP,Asia/Tokyo
HNH,Hoonah Airport,US,America/Juneau
HNI,Heiweni Airport,PG,Pacific/Port_Moresby
HNL,Daniel K Inouye International Airport,US,Pacific/Honolulu
HNM,Hana Airport,US,Pacific/Honolulu
HNN,Honinabi Airport,PG,Asia/Jayapura
HNS,Haines Airport,US,America/Juneau
HNY,Hengyang Nanyue Airport,CN,Asia/Shanghai
HOA,Hola Airport,KE,Africa/Nairobi
HOB,Lea County Regional Airport,US,America/Ojinaga
HOC,Komako Airport,PG,Pacific/Port_Moresby
HOD,Hodeidah International Airport,YE,Asia/Aden
HOE,Ban Huoeisay Airport,LA,Asia/Vientiane
HOF,Al-Ahsa International Airport,SA,Asia/Riyadh
HOG,Frank Pais International Airport,CU,America/Havana
HOH,Hohenems-Dornbirn Airfield,AT,Europe/Vienna
